RK;"Dénomination / Titre";Auteur;"Date de création";"Numéro d’inventaire";Collection
cl010052603;Vénitienne;"Barbault, Jean ; France";"1755 / 1759  (2e tiers du XVIIIe siècle)";"RF 1948 9";"Département des Peintures"
cl010052604;"Portrait de Claude François Alby enfant.";"Bally, Alexandre ; France";1827;"RF 1947 27; D 1947-2-1";"Département des Peintures"
cl010052637;"Zacharie en méditation";"Vignon, Claude ; France";"1600 / 1700  (XVIIe siècle)";"INV 845; B 137";"Département des Peintures"
cl010052686;"Vase de fleurs à la console";"Delacroix, Eugène ; France";"1848 / 1850  (2e quart du XIXe siècle)";"MNR 162";"Département des Peintures"
cl010052689;"Tête de Jupiter";"France ; Ingres, Jean-Auguste-Dominique";1810;"MNR 147";"Département des Peintures"
cl010052690;"Angélique, réplique d'atelier";"France ; Ingres, Jean-Auguste-Dominique";"1800 / 1900  (XIXe siècle)";"MNR 153; D 54-1-1";"Département des Peintures"
cl010052691;"Le Duc d'Albe à Sainte-Gudule à Bruxelles";"France ; Ingres, Jean-Auguste-Dominique";"vers 1815";"MNR 872";"Département des Peintures"
cl010052692;"La Paix";"Lépicié, Nicolas-Bernard ; France";1772;"MNR 746";"Département des Peintures"
cl010052693;"Les Chiens savants";"Watteau, Louis Joseph ; France";1785;"MNR 238";"Département des Peintures"
cl010052694;"Portrait de femme à mi-corps";"Anonyme ; France";1570;"MNR 14";"Département des Peintures"
cl010052695;"Présentation de l'Enfant Jésus au temple";"Anonyme ; France";"1700 / 1800  (XVIIIe siècle)";"MNR 110; D 56-2-1";"Département des Peintures"
cl010052698;"Paysage avec figures et animaux ; coucher du soleil, rentrée des bergers";"Vanderburch, Jacques André Édouard ; France";"1700 / 1800  (XVIIIe siècle)";"INV 3089; MR 2555";"Département des Peintures"
cl010052699;"Saint Louis tenant les instruments de la passion";"Frère Luc ; France";"1600 / 1700  (XVIIe siècle)";"INV 6710; MR 1987";"Département des Peintures"
cl010052700;"Vue du monument élevé à la mémoire de Henri IV dans la plaine d'Ivry";"Bidauld, Jean Joseph Xavier ; France";1822;"INV 2587; L 3786";"Département des Peintures"
cl010052702;"Vénus ramène Hélène à Pâris";"Bosio, Jean François ; France";"1800 / 1900  (XIXe siècle)";"INV 2700; L 3684; 209";"Département des Peintures"
cl010052703;"Berger et bergère";"Boucher, François ; France";"1700 / 1800  (XVIIIe siècle)";"MI 1359";"Département des Peintures"
cl010052705;"Sainte Famille";"Chalette, Jean ; France";"1600 / 1700  (XVIIe siècle)";"RF 1960 55";"Département des Peintures"
cl010052706;"Portrait de Jean Caulet";"Chalette, Jean ; France";1635;"RF 1949 22";"Département des Peintures"
cl010052707;"Portrait en pied du comte Clausel";"Champmartin, Émile Callande de ; France";1832;"INV 3195; LP 103";"Département des Peintures"
cl010052718;"Une Nymphe chasseresse sortant du bain.";"Pallière, Léon ; France";1817;"INV 7082; L 3866; P 329";"Département des Peintures"
cl010052719;"Chasse à l'éléphant";"Parrocel, Charles ; France";1737;"INV 7108 bis; B 1308; Inv 2088";"Département des Peintures"
cl010052721;"Chasse au taureau sauvage";"France ; Parrocel, Charles";1738;"INV 7125; B 924; 2088";"Département des Peintures"
cl010052722;"Chasse à l'éléphant (esquisse)";"Parrocel, Charles ; France";1738;"RF 1959 14; M.P.P. 4391";"Département des Peintures"
cl010052723;"Chasse au taureau sauvage. Esquisse";"France ; Parrocel, Charles";1738;"RF 1959 15; 4390";"Département des Peintures"
cl010052724;"Chasse chinoise";"Pater, Jean-Baptiste ; France";1736;"INV 7144; MR 2566";"Département des Peintures"
cl010052726;"La Cène";"France ; Jouvenet, Jean ; Restout, Jean II";"1700 / 1800  (XVIIIe siècle)";"INV 7443; B 959 A";"Département des Peintures"
cl010052734;"Portrait d'Honoré de Balzac";"Boulanger, Louis ; France";1836;"RF 1963 5; D 1963 5";"Département des Peintures"
cl010052735;"Cavalier arabe devant une boutique, esquisse";"Chassériau, Théodore ; France";"1849 / 1856  (XIXe siècle)";"RF 3895; D 1937 1 1";"Département des Peintures"
cl010052737;"Pygmalion et sa statue au moment où elle s'anime, esquisse";"Deshays, Jean Baptiste Henri ; France";"1750 / 1775  (3e quart du XVIIIe siècle)";"MI 1374; D 1872.3.1";"Département des Peintures"
cl010052738;"Vue des Cascatelles de Tivoli et du Temple de la Sybille avec Horace méditant";"France ; Hue, Jean-François";1786;"INV 5407; MR 1841; D 1942-1-1";"Département des Peintures"
cl010052739;"Panthée emmenée en captivité (?)";"France ; La Hyre, Laurent de";"1600 / 1700  (XVIIe siècle)";"RF 1949 15; D 1950-2-2";"Département des Peintures"
